ticker,company,cik,year,accession,status,path
LVS,Las Vegas Sands,0001300514,2010,0000950123-10-018509,success,../data/item1a/0001300514_2010.txt
PHM,PulteGroup,0000822416,2026,0000822416-26-000007,success,../data/item1a/0000822416_2026.txt
PHM,PulteGroup,0000822416,2025,0000822416-25-000007,success,../data/item1a/0000822416_2025.txt
PHM,PulteGroup,0000822416,2024,0000822416-24-000010,success,../data/item1a/0000822416_2024.txt
PHM,PulteGroup,0000822416,2023,0000822416-23-000007,success,../data/item1a/0000822416_2023.txt
PHM,PulteGroup,0000822416,2022,0000822416-22-000007,success,../data/item1a/0000822416_2022.txt
PHM,PulteGroup,0000822416,2021,0000822416-21-000007,success,../data/item1a/0000822416_2021.txt
PHM,PulteGroup,0000822416,2020,0000822416-20-000007,success,../data/item1a/0000822416_2020.txt
PHM,PulteGroup,0000822416,2019,0000822416-19-000008,success,../data/item1a/0000822416_2019.txt
PHM,PulteGroup,0000822416,2018,0000822416-18-000009,success,../data/item1a/0000822416_2018.txt
PHM,PulteGroup,0000822416,2017,0000822416-17-000008,success,../data/item1a/0000822416_2017.txt
PHM,PulteGroup,0000822416,2016,0000822416-16-000048,success,../data/item1a/0000822416_2016.txt
PHM,PulteGroup,0000822416,2015,0000822416-15-000007,success,../data/item1a/0000822416_2015.txt
PHM,PulteGroup,0000822416,2014,0000822416-14-000010,success,../data/item1a/0000822416_2014.txt
PHM,PulteGroup,0000822416,2013,0000822416-13-000006,success,../data/item1a/0000822416_2013.txt
PHM,PulteGroup,0000822416,2012,0000822416-12-000010,success,../data/item1a/0000822416_2012.txt
CCL,Carnival Corporation,0000815097,2026,0000815097-26-000007,success,../data/item1a/0000815097_2026.txt
CCL,Carnival Corporation,0000815097,2025,0000815097-25-000007,success,../data/item1a/0000815097_2025.txt
CCL,Carnival Corporation,0000815097,2024,0000815097-24-000011,success,../data/item1a/0000815097_2024.txt
CCL,Carnival Corporation,0000815097,2023,0000815097-23-000012,success,../data/item1a/0000815097_2023.txt
CCL,Carnival Corporation,0000815097,2022,0000815097-22-000009,success,../data/item1a/0000815097_2022.txt
CCL,Carnival Corporation,0000815097,2021,0000815097-21-000027,success,../data/item1a/0000815097_2021.txt
CCL,Carnival Corporation,0000815097,2020,0000815097-20-000003,success,../data/item1a/0000815097_2020.txt
CCL,Carnival Corporation,0000815097,2019,0000815097-19-000004,success,../data/item1a/0000815097_2019.txt
CCL,Carnival Corporation,0000815097,2018,0000815097-18-000005,success,../data/item1a/0000815097_2018.txt
CCL,Carnival Corporation,0000815097,2017,0000815097-17-000001,success,../data/item1a/0000815097_2017.txt
CCL,Carnival Corporation,0000815097,2016,0000815097-16-000030,success,../data/item1a/0000815097_2016.txt
CCL,Carnival Corporation,0000815097,2015,0000815097-15-000007,success,../data/item1a/0000815097_2015.txt
CCL,Carnival Corporation,0000815097,2014,0001193125-14-025514,item1a_not_found,
CCL,Carnival Corporation,0000815097,2013,0001193125-13-027239,item1a_not_found,
CCL,Carnival Corporation,0000815097,2012,0001193125-12-028375,item1a_not_found,
